Timestep,Living Population,Active Infections,Economic Productivity,Population Change
449,77668,4503,11268.938345213915,0
450,77666,4456,11228.241600773987,-2
451,77667,4470,11189.778078016103,1
452,77670,4465,11159.514710001313,3
453,77661,4484,11119.59841327827,-9
454,77655,4479,11082.750695564724,-6
455,77656,4507,11046.670933436448,1
456,77655,4493,11008.229629959,-1
457,77653,4511,10967.05771931964,-2
458,77649,4512,10936.588366427284,-4
459,77636,4486,10898.051709741341,-13
460,77639,4510,10871.233913108583,3
461,77641,4511,10832.66924385729,2
462,77639,4513,10794.198124449842,-2
463,77642,4517,10751.325640177647,3
464,77644,4528,10713.58052560199,2
465,77642,4500,10684.407414559939,-2
466,77645,4520,10645.218824767633,3
467,77644,4501,10607.165763396853,-1
468,77644,4475,10572.53254629673,0
469,77634,4434,10547.959335836102,-10
470,77636,4396,10516.955931693232,2
471,77642,4392,10474.42420506288,6
472,77646,4427,10428.006037014173,4
473,77647,4442,10396.4309797321,1
474,77639,4424,10354.919185275652,-8
475,77636,4398,10323.62436150843,-3
476,77636,4342,10290.861369670469,0
477,77635,4345,10255.177537093017,-1
478,77629,4334,10224.352922427997,-6
479,77629,4339,10192.011409748078,0
480,77620,4307,10161.295728690557,-9
481,77621,4283,10130.084740212305,1
482,77619,4274,10092.360897652934,-2
483,77617,4281,10058.889012889802,-2
484,77603,4262,10037.11133992956,-14
485,77611,4219,10007.36622380127,8
486,77625,4198,9970.252779887198,14
487,77636,4231,9937.028841473437,11
488,77630,4204,9906.39123002414,-6
489,77619,4188,9879.246356648906,-11
490,77616,4196,9844.293287921211,-3
491,77605,4139,9805.914100885047,-11
492,77621,4145,9778.415621496424,16
493,77613,4138,9738.354907320208,-8
494,77618,4086,9719.113530881037,5
495,77629,4111,9693.856115332504,11
496,77625,4114,9659.129632351398,-4
497,77630,4126,9631.564167592664,5
498,77634,4097,9607.224124356882,4
499,77630,4115,9567.076883531587,-4
500,77628,4122,9530.295896952473,-2
501,77628,4132,9497.084405931771,0
502,77631,4128,9466.121079554196,3
503,77634,4128,9427.359814402302,3
504,77632,4127,9400.635324715477,-2
505,77637,4094,9368.675080669003,5
506,77637,4107,9334.231227582586,0
507,77626,4125,9305.834616558715,-11
508,77631,4101,9284.25576047173,5
509,77634,4070,9258.771312679239,3
510,77634,4071,9228.527555485301,0
511,77639,4059,9198.999723582216,5
512,77631,4057,9171.512395670412,-8
