Timestep,Living Population,Active Infections,Economic Productivity,Population Change
252,82230,1144,54138.46211114477,11
253,82239,1167,54076.28372234867,9
254,82248,1189,54022.028673943394,9
255,82259,1196,53961.65935092137,11
256,82263,1230,53903.0344449304,4
257,82270,1243,53847.931559791155,7
258,82278,1276,53792.99244505254,8
259,82288,1303,53730.21618057053,10
260,82296,1337,53678.09489923043,8
261,82311,1353,53621.25199999089,15
262,82315,1382,53541.32909365129,4
263,82324,1405,53476.74946313147,9
264,82325,1426,53421.24061671072,1
265,82333,1460,53351.11465989362,8
266,82331,1464,53284.91522403019,-2
267,82333,1475,53216.70935085887,2
268,82341,1519,53138.23978064054,8
269,82351,1533,53060.33931232391,10
270,82377,1556,52985.90476928818,26
271,82380,1584,52905.2118682027,3
272,82377,1611,52833.00193732888,-3
273,82386,1659,52756.303060933074,9
274,82394,1681,52684.94834439198,8
275,82411,1703,52611.59628206263,17
276,82421,1705,52528.87774193374,10
277,82429,1717,52452.55666581972,8
278,82434,1726,52391.32364772436,5
279,82439,1771,52303.095511267806,5
280,82445,1796,52222.53802768049,6
281,82461,1830,52139.06705475593,16
282,82471,1860,52043.64758486547,10
283,82478,1876,51961.5110723331,7
284,82486,1898,51878.53006343724,8
285,82493,1918,51798.03384044872,7
286,82500,1944,51708.097385188565,7
287,82502,1951,51626.9924166657,2
288,82507,1954,51542.557844339186,5
289,82508,1975,51460.85035812672,1
290,82522,1996,51376.00293528704,14
291,82520,2004,51285.6612001907,-2
292,82527,2049,51201.0873822065,7
293,82529,2057,51116.09509851488,2
294,82533,2062,51023.28959162102,4
295,82538,2072,50947.25182145851,5
296,82535,2096,50849.58946549159,-3
297,82544,2126,50759.15709801778,9
298,82550,2132,50667.42181918057,6
299,82548,2121,50582.1396423236,-2
300,82559,2155,50500.77138099451,11
301,82560,2144,50419.665340678635,1
302,82558,2184,50316.896402135826,-2
303,82560,2170,50241.76256126616,2
304,82574,2182,50160.96218645536,14
305,82575,2180,50078.80029967618,1
306,82575,2190,49981.26298665423,0
307,82576,2217,49898.51983083924,1
308,82579,2192,49811.33132559062,3
309,82586,2206,49727.89682805439,7
310,82599,2202,49645.65525377118,13
311,82607,2201,49563.713200117876,8
312,82623,2201,49489.38446582569,16
313,82635,2224,49388.527941765446,12
314,82634,2265,49297.276164056864,-1
315,82637,2233,49207.85161825633,3
316,82650,2243,49124.02119400197,13
317,82659,2257,49018.269635373465,9
318,82664,2273,48926.84005463497,5
319,82672,2273,48846.95040727793,8
320,82684,2290,48756.21626083178,12
321,82699,2289,48660.00600445783,15
322,82706,2272,48586.10348028258,7
323,82709,2313,48489.276158439905,3
324,82716,2295,48408.13266410039,7
325,82715,2314,48310.870065799456,-1
326,82728,2326,48234.2718674423,13
327,82728,2325,48153.24329563007,0
328,82730,2333,48072.42836664064,2
329,82719,2334,47974.34538599829,-11
330,82713,2332,47882.38680826252,-6
331,82721,2348,47794.90254032115,8
332,82719,2370,47705.239810838175,-2
333,82732,2379,47610.76001557157,13
334,82736,2366,47527.88041635698,4
335,82742,2378,47443.589401737074,6
